,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.030830571517263813
1,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.01827197976282351
2,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.023667435812815513
3,breast_tissue,LogisticRegression,KMeansSMOTE2,f1 score,0.042418994445860336
4,breast_tissue,LogisticRegression,KMeansSMOTE2,geometric mean score,0.007866754473794384
5,breast_tissue,LogisticRegression,KMeansSMOTE2,roc auc score,0.02876961715878661
6,breast_tissue,LogisticRegression,KMeansSMOTE3,f1 score,0.032412432578945494
7,breast_tissue,LogisticRegression,KMeansSMOTE3,geometric mean score,0.020902370587811536
8,breast_tissue,LogisticRegression,KMeansSMOTE3,roc auc score,0.03200105087182718
9,breast_tissue,LogisticRegression,KMeansSMOTE4,f1 score,0.024421699180933124
10,breast_tissue,LogisticRegression,KMeansSMOTE4,geometric mean score,0.012484231884425783
11,breast_tissue,LogisticRegression,KMeansSMOTE4,roc auc score,0.03472458035123976
12,breast_tissue,LogisticRegression,None,f1 score,0.029961057913113542
13,breast_tissue,LogisticRegression,None,geometric mean score,0.020406173209149055
14,breast_tissue,LogisticRegression,None,roc auc score,0.04067165076314297
15,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.03326657489247343
16,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.026027018908402855
17,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.024562221878796305
18,breast_tissue,LogisticRegression,SMOTE,f1 score,0.02959518483738287
19,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.019662747543112948
20,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.026196539472163615
21,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.01443294128225444
22,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.017560888507582424
23,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.02055724931946501
24,ecoli,LogisticRegression,KMeansSMOTE,f1 score,0.018079859620014706
25,ecoli,LogisticRegression,KMeansSMOTE,geometric mean score,0.0046452494932359275
26,ecoli,LogisticRegression,KMeansSMOTE,roc auc score,0.016360080957787338
27,ecoli,LogisticRegression,KMeansSMOTE2,f1 score,0.016775785294342302
28,ecoli,LogisticRegression,KMeansSMOTE2,geometric mean score,0.0034712503374818766
29,ecoli,LogisticRegression,KMeansSMOTE2,roc auc score,0.012122023307509583
30,ecoli,LogisticRegression,KMeansSMOTE3,f1 score,0.017481812713021717
31,ecoli,LogisticRegression,KMeansSMOTE3,geometric mean score,0.00519816477675174
32,ecoli,LogisticRegression,KMeansSMOTE3,roc auc score,0.013683812558443654
33,ecoli,LogisticRegression,KMeansSMOTE4,f1 score,0.018382152279036047
34,ecoli,LogisticRegression,KMeansSMOTE4,geometric mean score,0.003103930147216901
35,ecoli,LogisticRegression,KMeansSMOTE4,roc auc score,0.02017361507597523
36,ecoli,LogisticRegression,None,f1 score,0.02211409044672596
37,ecoli,LogisticRegression,None,geometric mean score,0.0023634330333436545
38,ecoli,LogisticRegression,None,roc auc score,0.018741200038975465
39,ecoli,LogisticRegression,RandomOverSampler,f1 score,0.005346720387158589
40,ecoli,LogisticRegression,RandomOverSampler,geometric mean score,0.002862427478965797
41,ecoli,LogisticRegression,RandomOverSampler,roc auc score,0.008598628956230387
42,ecoli,LogisticRegression,SMOTE,f1 score,0.009384338941591073
43,ecoli,LogisticRegression,SMOTE,geometric mean score,0.0017358117842559838
44,ecoli,LogisticRegression,SMOTE,roc auc score,0.007058570272320072
45,ecoli,LogisticRegression,SMOTE2,f1 score,0.015204209183510719
46,ecoli,LogisticRegression,SMOTE2,geometric mean score,0.004110851786697093
47,ecoli,LogisticRegression,SMOTE2,roc auc score,0.009038930486364604
48,eucalyptus,LogisticRegression,KMeansSMOTE,f1 score,0.03427648959923795
49,eucalyptus,LogisticRegression,KMeansSMOTE,geometric mean score,0.016393504299904837
50,eucalyptus,LogisticRegression,KMeansSMOTE,roc auc score,0.08853297251662942
51,eucalyptus,LogisticRegression,KMeansSMOTE2,f1 score,0.037548097190483375
52,eucalyptus,LogisticRegression,KMeansSMOTE2,geometric mean score,0.0203707117245364
53,eucalyptus,LogisticRegression,KMeansSMOTE2,roc auc score,0.03222256171925755
54,eucalyptus,LogisticRegression,KMeansSMOTE3,f1 score,0.04683421297622432
55,eucalyptus,LogisticRegression,KMeansSMOTE3,geometric mean score,0.0231227600759782
56,eucalyptus,LogisticRegression,KMeansSMOTE3,roc auc score,0.032940715607533096
57,eucalyptus,LogisticRegression,KMeansSMOTE4,f1 score,0.015639400405242858
58,eucalyptus,LogisticRegression,KMeansSMOTE4,geometric mean score,0.008574911788148051
59,eucalyptus,LogisticRegression,KMeansSMOTE4,roc auc score,0.0351551733914028
60,eucalyptus,LogisticRegression,None,f1 score,0.022764855562369655
61,eucalyptus,LogisticRegression,None,geometric mean score,0.004671653901396738
62,eucalyptus,LogisticRegression,None,roc auc score,0.015237315964340607
63,eucalyptus,LogisticRegression,RandomOverSampler,f1 score,0.009313447591283596
64,eucalyptus,LogisticRegression,RandomOverSampler,geometric mean score,0.009083737244289897
65,eucalyptus,LogisticRegression,RandomOverSampler,roc auc score,0.014810199115339453
66,eucalyptus,LogisticRegression,SMOTE,f1 score,0.014697068485014
67,eucalyptus,LogisticRegression,SMOTE,geometric mean score,0.010786998820935008
68,eucalyptus,LogisticRegression,SMOTE,roc auc score,0.006995677253573247
69,eucalyptus,LogisticRegression,SMOTE2,f1 score,0.015548518460128538
70,eucalyptus,LogisticRegression,SMOTE2,geometric mean score,0.00564483101809163
71,eucalyptus,LogisticRegression,SMOTE2,roc auc score,0.009202620025226453
72,glass,LogisticRegression,KMeansSMOTE,f1 score,0.03127270837835071
73,glass,LogisticRegression,KMeansSMOTE,geometric mean score,0.01093125962125111
74,glass,LogisticRegression,KMeansSMOTE,roc auc score,0.023341893008632087
75,glass,LogisticRegression,KMeansSMOTE2,f1 score,0.04139832904268715
76,glass,LogisticRegression,KMeansSMOTE2,geometric mean score,0.012225076209671936
