Classifier,Metric,KMeansSMOTE,KMeansSMOTE2,KMeansSMOTE3,KMeansSMOTE4,KMeansSMOTE5,KMeansSMOTE6,KMeansSMOTE7,SMOTE
GradientBoostingClassifier,f1 score,4.0,3.85,4.15,4.0,3.85,4.23,4.38,7.54
GradientBoostingClassifier,geometric mean score,6.62,5.31,3.77,3.92,5.54,3.92,3.92,3.0
GradientBoostingClassifier,precision score,6.77,5.69,3.77,4.15,5.62,4.15,4.23,1.62
GradientBoostingClassifier,recall score,5.54,4.62,3.92,4.46,5.0,4.08,4.54,3.85
GradientBoostingClassifier,roc auc score,3.38,3.77,4.62,4.31,3.23,4.08,4.77,7.85
GradientBoostingClassifier,specificity score,4.31,4.54,4.38,4.31,5.0,5.85,4.15,3.46
LogisticRegression,f1 score,4.08,2.69,4.92,4.31,3.77,5.31,4.23,6.69
LogisticRegression,geometric mean score,6.38,6.0,3.15,4.92,6.31,3.0,3.92,2.31
LogisticRegression,precision score,6.31,6.23,3.38,5.46,6.23,3.0,4.38,1.0
LogisticRegression,recall score,6.08,5.08,3.23,5.08,6.08,3.15,4.0,3.31
LogisticRegression,roc auc score,3.85,2.62,5.69,3.85,3.46,5.46,3.92,7.15
LogisticRegression,specificity score,6.85,5.62,4.0,3.08,6.15,3.77,3.15,3.38
RandomForestClassifier,f1 score,2.69,3.69,5.08,4.85,3.31,4.92,4.38,7.08
RandomForestClassifier,geometric mean score,5.92,5.0,4.69,3.69,5.77,4.62,4.0,2.31
RandomForestClassifier,precision score,6.54,4.92,4.46,3.92,6.46,4.54,3.54,1.62
RandomForestClassifier,recall score,5.31,5.31,4.69,3.85,5.38,4.69,4.46,2.31
RandomForestClassifier,roc auc score,2.69,3.46,4.77,4.85,2.85,4.62,5.0,7.77
RandomForestClassifier,specificity score,5.0,5.38,4.69,3.77,5.23,4.54,3.77,3.62
