Classifier,Metric,KMeansSMOTE,KMeansSMOTE10,KMeansSMOTE11,KMeansSMOTE12,KMeansSMOTE2,KMeansSMOTE3,KMeansSMOTE4,KMeansSMOTE5,KMeansSMOTE6,KMeansSMOTE7,KMeansSMOTE8,KMeansSMOTE9,SMOTE
GradientBoostingClassifier,f1 score,11.77,10.08,8.46,8.23,7.69,4.31,4.46,3.62,4.62,5.54,6.31,6.38,9.54
GradientBoostingClassifier,geometric mean score,6.62,7.31,7.77,6.31,6.85,7.15,9.69,6.92,7.38,7.08,6.69,6.15,5.08
GradientBoostingClassifier,precision score,5.38,6.69,8.38,6.31,6.62,7.77,7.92,6.85,8.85,10.15,6.38,7.0,2.69
GradientBoostingClassifier,recall score,6.69,7.31,8.38,7.31,7.69,6.62,7.31,6.31,8.23,8.92,5.08,7.0,4.15
GradientBoostingClassifier,roc auc score,11.46,10.08,8.46,7.69,8.46,4.77,4.38,3.77,4.62,6.62,5.38,6.15,9.15
GradientBoostingClassifier,specificity score,4.08,6.92,8.23,6.31,5.92,9.15,9.23,8.62,8.46,9.85,5.92,6.38,1.92
LogisticRegression,f1 score,11.31,9.15,8.15,7.85,6.08,4.77,5.38,6.77,4.77,5.54,7.0,5.62,8.62
LogisticRegression,geometric mean score,7.08,7.15,8.15,5.92,6.77,5.92,8.77,8.77,9.0,7.08,6.08,6.38,3.92
LogisticRegression,precision score,5.31,7.54,7.77,7.0,7.15,8.08,10.15,7.38,8.31,7.0,7.0,6.31,2.0
LogisticRegression,recall score,6.62,7.62,7.54,6.54,7.62,7.62,9.54,8.23,8.15,7.0,5.62,5.69,3.23
LogisticRegression,roc auc score,10.62,9.31,7.92,8.0,5.85,4.31,6.31,6.69,4.92,5.85,7.0,5.77,8.46
LogisticRegression,specificity score,4.31,6.85,7.69,6.54,8.77,8.92,9.62,8.38,9.0,7.38,6.08,6.23,1.23
RandomForestClassifier,f1 score,12.31,9.38,7.15,7.92,6.69,5.85,4.62,5.15,4.85,6.23,6.77,4.85,9.23
RandomForestClassifier,geometric mean score,5.92,8.15,7.92,6.92,4.62,8.23,6.38,8.77,7.77,8.46,7.38,6.31,4.15
RandomForestClassifier,precision score,3.85,7.23,7.69,5.77,6.31,8.31,8.77,10.23,9.0,8.85,6.77,5.77,2.46
RandomForestClassifier,recall score,4.77,7.31,7.77,6.0,5.77,8.54,8.23,10.23,8.69,8.38,6.92,5.77,2.62
RandomForestClassifier,roc auc score,12.08,8.85,7.46,7.15,6.23,5.54,5.54,6.0,5.54,6.15,6.38,5.08,9.0
RandomForestClassifier,specificity score,4.23,7.0,7.77,5.77,5.15,8.62,9.92,10.23,8.31,8.92,6.69,6.0,2.38
